GOID	GO Term	Aspect	Query Count	Query Total	Query %	Background Count	Background Total	Background %	Fold Enrichment	P-value	FDR	Genes
GO:0051703	biological process involved in intraspecies interaction between organisms	Biological Process	6	20	30.00%	175	6672	2.6229%	11.44	8.53e-06	2.64e-04	ALS3, YVC1, PMT2, PMT4, HYR1, CSA2
GO:0098630	aggregation of unicellular organisms	Biological Process	6	20	30.00%	202	6672	3.0276%	9.91	1.94e-05	2.64e-04	ALS3, YVC1, PMT2, PMT4, HYR1, CSA2
GO:0042710	biofilm formation	Biological Process	6	20	30.00%	202	6672	3.0276%	9.91	1.94e-05	2.64e-04	ALS3, YVC1, PMT2, PMT4, HYR1, CSA2
GO:0098743	cell aggregation	Biological Process	6	20	30.00%	203	6672	3.0426%	9.86	2.00e-05	2.64e-04	ALS3, YVC1, PMT2, PMT4, HYR1, CSA2
GO:0044011	single-species biofilm formation on inanimate substrate	Biological Process	5	20	25.00%	120	6672	1.7986%	13.90	2.16e-05	2.64e-04	ALS3, PMT2, PMT4, HYR1, CSA2
GO:0090609	single-species submerged biofilm formation	Biological Process	5	20	25.00%	130	6672	1.9484%	12.83	3.19e-05	3.24e-04	ALS3, PMT2, PMT4, HYR1, CSA2
GO:0090605	submerged biofilm formation	Biological Process	5	20	25.00%	139	6672	2.0833%	12.00	4.40e-05	3.84e-04	ALS3, PMT2, PMT4, HYR1, CSA2
GO:0000921	septin ring assembly	Biological Process	2	20	10.00%	4	6672	0.0600%	166.80	5.10e-05	3.89e-04	CDC12, CDC11
GO:0044010	single-species biofilm formation	Biological Process	5	20	25.00%	169	6672	2.5330%	9.87	1.12e-04	7.58e-04	ALS3, PMT2, PMT4, HYR1, CSA2
GO:0030011	maintenance of cell polarity	Biological Process	2	20	10.00%	6	6672	0.0899%	111.20	1.27e-04	7.76e-04	CDC12, CDC11
GO:0051707	response to other organism	Biological Process	3	20	15.00%	37	6672	0.5546%	27.05	1.68e-04	8.34e-04	ALS3, SOD5, HYR1
GO:0043207	response to external biotic stimulus	Biological Process	3	20	15.00%	37	6672	0.5546%	27.05	1.68e-04	8.34e-04	ALS3, SOD5, HYR1
GO:0031106	septin ring organization	Biological Process	2	20	10.00%	7	6672	0.1049%	95.31	1.78e-04	8.34e-04	CDC12, CDC11
GO:0006811	monoatomic ion transport	Biological Process	4	20	20.00%	100	6672	1.4988%	13.34	1.91e-04	8.34e-04	ALS3, YVC1, ENA21, CSA2
GO:0032185	septin cytoskeleton organization	Biological Process	2	20	10.00%	8	6672	0.1199%	83.40	2.36e-04	9.62e-04	CDC12, CDC11
GO:0009605	response to external stimulus	Biological Process	3	20	15.00%	45	6672	0.6745%	22.24	3.02e-04	1.15e-03	ALS3, SOD5, HYR1
GO:0044419	biological process involved in interspecies interaction between organisms	Biological Process	6	20	30.00%	350	6672	5.2458%	5.72	4.13e-04	1.48e-03	CDC11, ALS3, YVC1, SOD5, PMT4, HYR1
